origin_code,destination_code,capture_date,flight_date,lead_time_days,airline_name,price,data_source,corridor
DEL,BOM,2026-09-07,2026-09-08,1,IndiGo,6117,SERPAPI_FAILOVER,DEL-BOM
DEL,BOM,2026-09-07,2026-09-10,3,IndiGo,5985,SERPAPI_FAILOVER,DEL-BOM
DEL,BOM,2026-09-07,2026-09-12,5,Air India,6314,SERPAPI_FAILOVER,DEL-BOM
DEL,BOM,2026-09-07,2026-09-14,7,Air India,6314,SERPAPI_FAILOVER,DEL-BOM
DEL,BOM,2026-09-07,2026-09-22,15,IndiGo,5985,SERPAPI_FAILOVER,DEL-BOM
DEL,BOM,2026-09-07,2026-10-07,30,IndiGo,5985,SERPAPI_FAILOVER,DEL-BOM
DEL,BOM,2026-09-07,2026-10-22,45,SpiceJet,6778,SERPAPI_FAILOVER,DEL-BOM
BLR,DEL,2026-09-07,2026-09-08,1,IndiGo,8259,SERPAPI_FAILOVER,BLR-DEL
BLR,DEL,2026-09-07,2026-09-10,3,IndiGo,8259,SERPAPI_FAILOVER,BLR-DEL
BLR,DEL,2026-09-07,2026-09-12,5,IndiGo,8715,SERPAPI_FAILOVER,BLR-DEL
BLR,DEL,2026-09-07,2026-09-14,7,IndiGo,8259,SERPAPI_FAILOVER,BLR-DEL
BLR,DEL,2026-09-07,2026-09-22,15,IndiGo,8065,SERPAPI_FAILOVER,BLR-DEL
BLR,DEL,2026-09-07,2026-10-07,30,IndiGo,8065,SERPAPI_FAILOVER,BLR-DEL
BLR,DEL,2026-09-07,2026-10-22,45,Air India Express,9009,SERPAPI_FAILOVER,BLR-DEL
MAA,DEL,2026-09-07,2026-09-08,1,IndiGo,10045,SERPAPI_FAILOVER,MAA-DEL
MAA,DEL,2026-09-07,2026-09-10,3,IndiGo,9514,SERPAPI_FAILOVER,MAA-DEL
MAA,DEL,2026-09-07,2026-09-12,5,IndiGo,10430,SERPAPI_FAILOVER,MAA-DEL
MAA,DEL,2026-09-07,2026-09-14,7,Air India Express,9638,SERPAPI_FAILOVER,MAA-DEL
MAA,DEL,2026-09-07,2026-09-22,15,IndiGo,9304,SERPAPI_FAILOVER,MAA-DEL
MAA,DEL,2026-09-07,2026-10-07,30,IndiGo,10045,SERPAPI_FAILOVER,MAA-DEL
MAA,DEL,2026-09-07,2026-10-22,45,IndiGo,9463,SERPAPI_FAILOVER,MAA-DEL
CCU,BOM,2026-09-07,2026-09-08,1,Air India,9008,SERPAPI_FAILOVER,CCU-BOM
CCU,BOM,2026-09-07,2026-09-10,3,IndiGo,8805,SERPAPI_FAILOVER,CCU-BOM
CCU,BOM,2026-09-07,2026-09-12,5,Air India,9008,SERPAPI_FAILOVER,CCU-BOM
CCU,BOM,2026-09-07,2026-09-14,7,Akasa Air,8602,SERPAPI_FAILOVER,CCU-BOM
CCU,BOM,2026-09-07,2026-09-22,15,Akasa Air,8602,SERPAPI_FAILOVER,CCU-BOM
CCU,BOM,2026-09-07,2026-10-07,30,Akasa Air,8325,SERPAPI_FAILOVER,CCU-BOM
CCU,BOM,2026-09-07,2026-10-22,45,IndiGo,9976,SERPAPI_FAILOVER,CCU-BOM
HYD,DEL,2026-09-07,2026-09-08,1,IndiGo,7904,SERPAPI_FAILOVER,HYD-DEL
HYD,DEL,2026-09-07,2026-09-10,3,IndiGo,7373,SERPAPI_FAILOVER,HYD-DEL
HYD,DEL,2026-09-07,2026-09-12,5,IndiGo,7463,SERPAPI_FAILOVER,HYD-DEL
HYD,DEL,2026-09-07,2026-09-14,7,Air India,6605,SERPAPI_FAILOVER,HYD-DEL
HYD,DEL,2026-09-07,2026-09-22,15,IndiGo,7373,SERPAPI_FAILOVER,HYD-DEL
HYD,DEL,2026-09-07,2026-10-07,30,IndiGo,7373,SERPAPI_FAILOVER,HYD-DEL
HYD,DEL,2026-09-07,2026-10-22,45,IndiGo,7332,SERPAPI_FAILOVER,HYD-DEL
